"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "HTML", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"/home/adam/Documents/second-brain/client/src/store/atoms/searchModal.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/adam/Documents/second-brain/client/src/store/atoms/sections.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/adam/Documents/second-brain/client/src/store/atoms/sharelink.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/adam/Documents/second-brain/client/src/store/atoms/sidebar.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/adam/Documents/second-brain/client/src/store/atoms/signupform.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/adam/Documents/second-brain/client/src/utils/handleError.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/adam/Documents/second-brain/client/tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"/home/adam/Documents/second-brain/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/adam/Documents/second-brain/client/tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/home/adam/Documents/second-brain/client/vercel.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/adam/Documents/second-brain/client/vite.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/home/adam/Documents/second-brain/server/SERVER_README.md", "Markdown", 0, 777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 981
"/home/adam/Documents/second-brain/server/eslint.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/adam/Documents/second-brain/server/package-lock.json", "JSON", 11906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11907
"/home/adam/Documents/second-brain/server/package.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"/home/adam/Documents/second-brain/server/src/app.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"/home/adam/Documents/second-brain/server/src/config/QdrantConfig.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"/home/adam/Documents/second-brain/server/src/config/db.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/adam/Documents/second-brain/server/src/controllers/authController.ts", "TypeScript", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 16, 188
"/home/adam/Documents/second-brain/server/src/controllers/cardController.ts", "TypeScript", 0, 0, 407, 0, 0, 0, 0, 0, 0, 0, 1, 53, 461
"/home/adam/Documents/second-brain/server/src/controllers/guide.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 60
"/home/adam/Documents/second-brain/server/src/controllers/sectionController.ts", "TypeScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 19, 149
"/home/adam/Documents/second-brain/server/src/controllers/shareController.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 12, 80
"/home/adam/Documents/second-brain/server/src/controllers/userController.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"/home/adam/Documents/second-brain/server/src/controllers/verifyUserController.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/home/adam/Documents/second-brain/server/src/middlewares/auth.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 13, 61
"/home/adam/Documents/second-brain/server/src/models/Content.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/home/adam/Documents/second-brain/server/src/models/Link.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/adam/Documents/second-brain/server/src/models/Section.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/adam/Documents/second-brain/server/src/models/Tags.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/adam/Documents/second-brain/server/src/models/User.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/home/adam/Documents/second-brain/server/src/routes/brainRoutes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/home/adam/Documents/second-brain/server/src/routes/cardRoutes.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/adam/Documents/second-brain/server/src/routes/eventRoutes.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/home/adam/Documents/second-brain/server/src/routes/oauthRoutes.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 12, 76
"/home/adam/Documents/second-brain/server/src/routes/sectionRoutes.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/adam/Documents/second-brain/server/src/routes/userRoutes.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/adam/Documents/second-brain/server/src/server.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/adam/Documents/second-brain/server/src/services/processor.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/home/adam/Documents/second-brain/server/src/utils/embeddings.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"/home/adam/Documents/second-brain/server/src/utils/passport.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/home/adam/Documents/second-brain/server/src/utils/qDrant.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/adam/Documents/second-brain/server/src/utils/scrape.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 12, 4, 38
"/home/adam/Documents/second-brain/server/src/utils/sseManager.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/home/adam/Documents/second-brain/server/src/validations/AuthSchema.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/adam/Documents/second-brain/server/src/validations/ContentSchema.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/adam/Documents/second-brain/server/tsconfig.json", "JSON with Comments", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/adam/Documents/second-brain/server/tsconfig.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 26632, 1519, 1573, 31, 26, 44, 4133, 88, 4, 25, 227, 1091, 35393
